Date,Open,High,Low,Close,Adj Close,Volume
2010-03-09,39.200001,39.200001,32.400002,39.200001,33.729824,50050000
2010-03-10,49.000000,49.000000,48.500000,49.000000,42.162285,1750000
2010-03-11,61.000000,61.000000,60.000000,61.000000,52.487747,1225000
2010-03-12,50.500000,76.000000,46.000000,50.500000,43.452972,62375000
2010-03-15,46.000000,52.000000,43.500000,46.000000,39.580925,17225000
2010-03-17,44.000000,48.000000,43.000000,44.000000,37.860008,7825000
2010-03-18,41.500000,44.000000,38.000000,41.500000,35.708878,15600000
2010-03-19,41.500000,42.000000,40.500000,41.500000,35.708878,2525000
2010-03-22,51.500000,51.500000,39.000000,51.500000,44.313423,26175000
2010-03-23,52.500000,62.500000,51.500000,52.500000,45.173882,54825000
2010-03-24,50.500000,55.500000,50.500000,50.500000,43.452972,6725000
2010-03-25,46.000000,51.000000,46.000000,46.000000,39.580925,4225000
2010-03-26,48.000000,50.000000,48.000000,48.000000,41.301826,2850000
2010-03-29,47.000000,50.500000,47.000000,47.000000,40.441376,1800000
2010-03-30,47.000000,49.500000,47.000000,47.000000,40.441376,1325000
2010-03-31,47.000000,48.000000,46.000000,47.000000,40.441376,2450000
2010-04-01,44.500000,47.500000,44.000000,44.500000,38.290237,6575000
2010-04-05,44.500000,44.500000,44.500000,44.500000,38.290237,0
2010-04-06,44.500000,46.000000,44.000000,44.500000,38.290237,3325000
2010-04-07,44.000000,46.000000,43.500000,44.000000,37.860008,1450000
2010-04-08,43.000000,45.000000,43.000000,43.000000,36.999557,1600000
2010-04-09,43.000000,43.000000,42.000000,43.000000,36.999557,1600000
2010-04-12,42.500000,43.500000,40.000000,42.500000,36.569324,975000
2010-04-13,43.500000,44.000000,42.000000,43.500000,37.429783,1925000
2010-04-14,42.000000,44.000000,41.000000,42.000000,36.139107,1525000
2010-04-15,41.500000,42.000000,41.000000,41.500000,35.708878,825000
2010-04-16,43.000000,47.000000,41.000000,43.000000,36.999557,7250000
2010-04-19,42.500000,44.000000,42.500000,42.500000,36.569324,2800000
2010-04-20,43.500000,45.500000,42.500000,43.500000,37.429783,2825000
2010-04-21,45.000000,45.500000,43.500000,45.000000,38.720470,2125000
2010-04-22,42.500000,43.500000,42.500000,42.500000,36.569324,1725000
2010-04-23,43.000000,44.000000,43.000000,43.000000,36.999557,1175000
2010-04-26,43.000000,43.000000,42.500000,43.000000,36.999557,1475000
2010-04-27,42.000000,43.000000,42.000000,42.000000,36.139107,575000
2010-04-28,41.000000,43.500000,41.000000,41.000000,35.278648,2875000
2010-04-29,43.500000,43.500000,41.000000,43.500000,37.429783,2575000
2010-04-30,43.500000,45.500000,43.000000,43.500000,37.429783,3950000
2010-05-03,43.000000,46.000000,43.000000,43.000000,36.999557,650000
2010-05-04,42.000000,42.500000,42.000000,42.000000,36.139107,975000
2010-05-05,40.000000,41.500000,40.000000,40.000000,34.418190,1275000
2010-05-06,38.000000,40.000000,38.000000,38.000000,32.697285,1325000
2010-05-07,38.799999,40.000000,37.599998,38.799999,33.385651,825000
2010-05-10,38.799999,38.799999,38.799999,38.799999,33.385651,0
2010-05-11,40.000000,40.000000,40.000000,40.000000,34.418190,825000
2010-05-12,39.000000,40.000000,38.000000,39.000000,33.557739,1250000
2010-05-14,38.000000,42.000000,38.000000,38.000000,32.697285,450000
2010-05-17,38.000000,38.000000,38.000000,38.000000,32.697285,75000
2010-05-18,44.000000,45.000000,37.599998,44.000000,37.860008,22575000
2010-05-19,41.000000,43.500000,41.000000,41.000000,35.278648,7625000
2010-05-20,41.000000,42.000000,39.599998,41.000000,35.278648,5100000
2010-05-21,40.000000,40.000000,39.200001,40.000000,34.418190,7650000
2010-05-24,40.500000,40.500000,38.400002,40.500000,34.848427,275000
2010-05-25,38.000000,38.000000,34.599998,38.000000,32.697285,300000
2010-05-26,40.000000,40.000000,37.000000,40.000000,34.418190,225000
2010-05-27,40.000000,40.000000,37.200001,40.000000,34.418190,2750000
2010-05-31,40.000000,40.000000,40.000000,40.000000,34.418190,425000
2010-06-01,41.000000,42.000000,40.000000,41.000000,35.278648,875000
2010-06-02,42.000000,42.000000,40.500000,42.000000,36.139107,6550000
2010-06-03,48.000000,49.000000,42.500000,48.000000,41.301826,23100000
2010-06-04,46.000000,48.500000,46.000000,46.000000,39.580925,5625000
2010-06-07,44.000000,44.500000,43.000000,44.000000,37.860008,875000
2010-06-08,43.500000,44.500000,43.500000,43.500000,37.429783,400000
2010-06-09,45.000000,45.000000,43.500000,45.000000,38.720470,1050000
2010-06-10,44.500000,45.000000,44.500000,44.500000,38.290237,775000
2010-06-11,44.500000,44.500000,44.000000,44.500000,38.290237,525000
2010-06-14,45.000000,45.000000,42.500000,45.000000,38.720470,50000
2010-06-15,45.000000,46.000000,45.000000,45.000000,38.720470,4725000
2010-06-16,46.000000,46.000000,44.000000,46.000000,39.580925,4450000
2010-06-17,46.500000,47.000000,46.000000,46.500000,40.011147,950000
2010-06-18,47.000000,48.500000,46.500000,47.000000,40.441376,2800000
2010-06-21,49.000000,49.000000,48.500000,49.000000,42.162285,3700000
2010-06-22,48.500000,49.000000,48.000000,48.500000,41.732063,1700000
2010-06-23,48.000000,48.500000,48.000000,48.000000,41.301826,8875000
